,Date,Close,High,Low,Open,Volume,SMA_05,SMA_08,SMA_13,SMA_21,EMA_50,EMA_200,VolumeSMA_14,RSI,MACD,MACD_Signal,MACD_Hist,BB_Up,BB_Mid,BB_Low,Plus_DMI,Minus_DMI,ADX,SAR,SAR_MoreSensitive,SAR_LessSensitive,Tenkan_sen,Kijun_sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,ATR,NATR,TRANGE,APO,CCI,CMO,MFI,MOM,ROC,ROCP,ROCR,ROCR100,STOCH_K,STOCH_D,STOCHF_K,STOCHF_D,STOCHRSI_K,STOCHRSI_D,TRIX,ULTOSC,WILLR,OBV,AD,CMF,VPT,BOP
BERG-B.ST,2024-10-10,303.0,313.5,301.0,313.5,88110.0,,,,,,,,,,,,,,,,,,,,,,,,,280.0,,,,,,,,,,,,,,,,,,,,,,88110.0,-59914.8,,,-0.84
BERG-B.ST,2024-10-11,311.5,313.0,303.0,303.5,33931.0,,,,,,,,,,,,,,,,,,301.0,301.0,301.0,,,,,274.5,,,10.0,,,,,,,,,,,,,,,,,,,122041.0,-36163.100000000006,,951.8597359735974,0.8
BERG-B.ST,2024-10-14,316.5,316.5,312.0,313.5,16893.0,,,,,,,,,,,,,,,,,,301.24,301.48,301.12,,,,,272.5,,,5.0,,,,,,,,,,,,,,,,,,,138934.0,-19270.100000000006,,1223.0154342079472,0.6666666666666666
BERG-B.ST,2024-10-15,319.5,325.0,317.0,318.5,30977.0,,,,,,,,,,,,,,,,,,301.85040000000004,302.6816,301.4276,,,,,272.0,,,8.5,,,,,,,,,,,,,,,,,,,169911.0,-30886.475000000006,,1516.636287288516,0.125
BERG-B.ST,2024-10-16,314.5,321.5,314.0,319.0,11544.0,313.0,,,,,,,,,,,,,,,,,303.23937600000005,305.359808,302.134772,,,,,276.0,,,7.5,,,,,,,,,,,,,,,,,,,158367.0,-40891.27500000001,,1335.9790102932109,-0.6
BERG-B.ST,2024-10-17,319.5,321.0,314.5,320.5,19972.0,316.3,,,,,,,,,,,,,,,,,304.54501344000005,307.71663104,302.82072884,,,,,278.5,,,6.5,,,,,,,,,,,,,,,,,,,178339.0,-30137.121153846165,,1653.4988831072014,-0.15384615384615385
BERG-B.ST,2024-10-18,317.0,320.5,314.0,319.5,7233.0,317.4,,,,,,,,,,,,,,,,,305.77231263360005,309.7906353152,303.4861069748,,,,,277.0,,,6.5,,,,,,,,,,,,38.46153846153846,56.57051282051282,,,,,,171106.0,-30693.505769230782,,1596.902638975746,-0.38461538461538464
BERG-B.ST,2024-10-21,312.0,317.0,312.0,313.5,10406.0,316.5,314.1875,,,,,,,,,,,,,,,,306.9259738755841,311.615759077376,304.131523765556,,,,,272.5,,,5.0,,,,,,,,,,,,0.0,37.82051282051282,,,,,,160700.0,-41099.50576923078,,1432.7701468621813,-0.3
BERG-B.ST,2024-10-22,308.5,312.0,305.0,312.0,7133.0,314.3,314.875,,,,,,,,,,,,,,,,325.0,325.0,304.7575780525893,313.0,,,,273.5,,,7.0,,,,,,,,,,19.891219891219887,38.09408184408184,21.21212121212121,19.891219891219887,,,,,,153567.0,-41099.50576923078,,1352.752518657053,-0.5
BERG-B.ST,2024-10-23,326.0,330.0,311.5,319.5,43320.0,316.6,316.6875,,,,,,,,,,,,,,,,305.0,305.0,305.0,316.5,,,,273.5,,,21.5,,,,,,,,,,35.070707070707066,30.927479927479926,84.0,35.070707070707066,,,,,,196887.0,-16512.478742203755,,3810.126910877474,0.35135135135135137
