,level_0,BERG-B.ST,HEM.ST,INDT.ST
0,level_0,BERG-B.ST,HEM.ST,INDT.ST
1,Date,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00
2,Close,283.0,348.0,244.0
3,High,294.5,372.6000061035156,263.6000061035156
4,Low,262.5,339.0,239.39999389648438
5,Open,281.5,344.6000061035156,240.0
6,Volume,152672.0,240718.0,449424.0
7,SMA_05,289.6,360.64000244140624,266.4813720703125
8,SMA_08,288.625,351.75,271.58553314208984
9,SMA_13,288.38461538461536,348.93846247746393,278.5700871394231
10,SMA_21,291.45238095238096,345.5904773530506,283.63363211495533
11,EMA_50,300.75612814176674,363.2598468175831,289.4544615893448
12,EMA_200,,,
13,VolumeSMA_14,32976.42857142857,183835.0,302754.0
14,RSI,39.12647444966635,45.472503878178294,20.231825363287122
15,MACD,-5.724807736879654,-4.633455721298901,-10.134474981548294
16,MACD_Signal,-6.093112064900123,-8.195912018523249,-6.496964333803952
17,MACD_Hist,0.36830432802046875,3.5624562972243474,-3.6375106477443424
18,BB_Up,301.50714042925205,367.2812795814436,309.1967837999912
19,BB_Mid,291.0,345.81000061035155,283.26672515869143
20,BB_Low,280.49285957074795,324.3387216392595,257.3366665173917
21,Plus_DMI,16.663185967258947,25.41180513949171,6.992240879949254
22,Minus_DMI,31.081775994428583,28.400268532592747,42.188797833319676
23,ADX,10.607976758993251,26.926146853716954,33.073853748451484
24,SAR,297.3105619758538,333.2221205410156,281.98048899831406
25,SAR_MoreSensitive,296.5,337.38120041210937,278.11442312343934
26,SAR_LessSensitive,262.5,331.0443749766846,289.9914795357855
27,Tenkan_sen,279.5,352.6999969482422,265.28478457821666
28,Kijun_sen,295.0,368.79998779296875,274.0871319924284
29,Senkou_Span_A,327.875,400.5,311.93914721104653
30,Senkou_Span_B,318.0,377.3000030517578,297.7960705041471
31,Chikou_Span,,,
32,ATR,12.053936510986627,14.00396030006653,9.242105079066135
33,NATR,4.259341523316829,4.024126523007624,3.7877479832238263
34,TRANGE,32.0,33.600006103515625,24.20001220703125
35,APO,-7.092948717948673,-3.788461538461547,-9.895812205779237
36,CCI,-123.86831275720235,48.14905055460563,-217.02911592072374
37,CMO,-21.7470511006673,-9.054992243643403,-59.53634927342575
38,MFI,34.23698451812972,45.7316858514359,11.354425289682919
39,MOM,-10.5,3.0,-44.7958984375
40,ROC,-3.5775127768313486,0.8695652173912993,-15.511265457668733
41,ROCP,-0.03577512776831346,0.008695652173913044,-0.15511265457668727
42,ROCR,0.9642248722316865,1.008695652173913,0.8448873454233127
43,ROCR100,96.42248722316864,100.8695652173913,84.48873454233127
44,STOCH_K,63.49426563078063,67.32043456855153,10.713347008964973
45,STOCH_D,74.83351831298559,77.83032474104014,21.209734310402883
46,STOCHF_K,60.29411764705882,31.249995415028,11.304315817846964
47,STOCHF_D,63.49426563078063,67.32043456855153,10.713347008964973
48,STOCHRSI_K,0.0,0.0,0.0
49,STOCHRSI_D,2.576908446510013,59.47601522626866,6.442566084294929
50,TRIX,-0.07038291622264436,-0.060939538872373245,-0.015649155991415142
51,ULTOSC,66.50982694986146,56.25782843512964,33.36025890865116
52,WILLR,-65.54621848739497,-59.832625832290006,-92.51569639736913
53,OBV,-591420.0,-1638584.0,2086410.0
54,AD,131236.8867687017,1548565.7965365124,1569033.115946372
55,CMF,0.30811365451545236,0.1004665645484517,-0.14464233465979653
56,VPT,-5474.056291663219,-26822.95024510772,-41807.379914375706
57,BOP,0.046875,0.10119027615678403,0.16528917282272323
